id,membercount,Name,Engagement % (Last 30 Days),Activity Score (Last 30 Days),Installed Date,Category
0c8c4031-b681-4a25-829d-7e8d0e27886e,71,NA,0,0,01-09-2019,NA
0c9e8f4e-0659-4847-a8ca-63d100277b10,4070,🌷SAKHI SAHELI🌷,1885.572139,44.95265589,43858,"Lifestyle, Beauty & Makeup"
0ce115b4-2e34-469d-b81f-4462a803342b,614,Brain Science India,8.669656203,4.8,44000,Learning & Education
0d0e0c79-cd0e-414e-927f-d49b492c65bd,15495,All Crafts at One place from all over the World,0,0,43990,Hobbies & Interests
0d591f6e-1906-4261-9496-a5fa75007eb6,190,NA,0,0,01-09-2019,NA
0d5a2630-4c7c-4be6-92bf-79db2243a994,308,��Memes�ki duniya��,0,0,43959,Entertainment
0da06907-552d-4745-a0d7-5c2406bb648b,129,NA,0,0,01-09-2019,NA
0ddd4074-e324-4b12-9adf-1e3c7dd2a6b2,66,NA,0,0,01-09-2019,NA
0e722cae-a1a2-4b24-afe8-19e04612911d,132,NA,0,0,01-09-2019,NA
0e7485fa-b0eb-4881-8d59-07c6383c349e,1578,Asus ROG PHONE Fans - #ARPFs,0,0,43913,Entertainment
0e85474f-b410-441e-a127-7cae26f18eaa,17326,The Mommy Directory - India,0,0,43874,Parenting
0e8bb394-6b5c-4ff2-927b-7f477db73ef0,5676,"The Knowledge Care- ""Build For Success""",0.176180409,2.333333333,43973,Learning & Education
0e9c04c7-8931-4b0f-81b5-0ba6d5c76dbe,310,Storage Of Learning,0,0,43969,Learning & Education
0ea02c5e-6ad2-406e-8e70-d79e5d6ddc7d,85,NA,0,0,01-09-2019,NA
0eb979e4-51a8-499f-b206-424fbf46b60a,5911,GCSE Maths Teacher Group,2.695507488,17,43959,Learning & Education
0f0f3ef5-0f7c-4bf9-9ae8-600ff05b8fd7,188,NA,0,0,01-09-2019,NA
0f60b691-f0f3-44f2-86f9-47aa4bcc5d62,426,himachal youth,1.877934272,0.333333333,44022,Entertainment
0f82cbca-5ec5-457d-816d-d20858a2e3b6,74,NA,0,0,01-09-2019,NA
0fb5ccf1-5592-42c7-8f1c-72657262c0ae,4241,Ajker Nandini(🎈আজকের নন্দিনী🎈) Female Business Group.,698.73706,5.218721209,44038,"Lifestyle, Beauty & Makeup"
101baf9f-808c-4f82-8270-df6f99960bc6,144,NA,0,0,01-09-2019,NA
102e021a-835a-4e9a-8337-3d1740a539d9,873,📚🌈 📚 Julio's Book Center 📚🌈📚,96.71945701,4.7,43919,Learning & Education
10a897d2-94d9-4856-8699-6473d82c586e,261,LEMON MARKET YARD,0,0,43979,Other
10e23340-0fd2-40d9-809b-d91114d19a64,1171,पॉवर टिलर  Power Tiller,0,0,43911,Sports & Gaming
0fe2272f-4ca9-49e4-935b-bd3b9d07f7ea,2760,Rome | Girl Gone International,0,0,43872,Travel
105055e4-f980-42f9-ae4a-2d906f716add,116,NA,0,0,01-09-2019,NA
1096e3a6-83d7-4bc9-b2f8-f2d23ef58f3a,130,NA,0,0,01-09-2019,NA
10a8c1c5-d469-476c-ab30-9344e12b76e2,301,End Bigotry,0,0,43919,Learning & Education
11551259-e621-4282-916e-21aef98240d3,6489,Girls and Boys Gossip Adda 😜👫❤,401.4877301,27.08690987,44027,NA
11643131-3592-4c4a-8ebb-df1378107b4c,52881,100करोड़ श्री रामभक्त हिंदुओं 🚩का ग्रुप। जुडते ही 40मित्र ज़ोडे ज़य श्री र,0,0,43923,Neighborhood/Local Groups
1201cb44-ed90-430a-9f3e-fda6bbbbf68e,3290,KVS PRT TGT PGT Exam and Interview Preparation group,0,0,43937,Learning & Education
123ebad9-99bc-46f5-aec4-baa9246c92da,768,ELEGANT LADIES LOUNGE,1258.569926,27.22877358,43783,Buy & Sell
137e4f9d-7439-4a62-9745-27941f165a97,164,NA,0,0,01-09-2019,NA
13c52e28-4bad-4b1b-887f-4a3653d8ad2b,114,NA,0,0,01-09-2019,NA
14217452-230a-4cc0-8fbc-fb9964444eff,801,Micromax Canvas Nitro A310 Development Group MT6592 [LATEST],0,0,43894,Other
143e78ea-9992-4203-b34b-a1026c30b827,1239,Crikchamps,13.61088871,4.151515152,44019,Entertainment
14c80322-3003-41d1-b4b6-69ba0f6c9de7,88,NA,0,0,01-09-2019,NA
14e1b440-da55-40b5-a4ea-4348ea1c336b,108,NA,0,0,01-09-2019,NA
14f06998-e1f2-4b33-b37c-70053822e5dd,63,NA,0,0,01-09-2019,NA
14f842b4-f70c-4e35-905a-a9a90c877c5a,5679,Gurgaon Women's Lounge,559.0067486,34.11413043,44029,Business-Brand
151dec66-f10a-446a-8b06-3f9040b622e5,151,NA,0,0,01-09-2019,NA
158f9689-6707-4f41-9bbf-10bd031ac28f,524,BITCOIN EARNERS 😍😍,0,0,43914,Learning & Education
17663462-8888-4e61-bf02-bc864276ecb3,398,Make It Fun NYC Jump Rope Group,0,0,43915,Fitness & Health
18053e61-39db-44ba-a4a4-c6c055986f58,88,NA,0,0,01-09-2019,NA
18cf0711-ba50-415a-8e10-4692d1a6510d,276,Rockstar 2014,0,0,43985,Entertainment
19189e18-210f-4694-bebf-fd2673a2d6f5,560,रीतू कंवर( बेटी बचाओ बेटी पढ़ाओ),0,0,43903,NA
192061c3-6fa9-4783-94c3-0fed62a5b91e,76,NA,0,0,01-09-2019,NA
198449b3-6df5-4544-86d4-53ed48a19161,354,Indirapuram Business Details,56.18811881,0.609929078,44005,"Lifestyle, Beauty & Makeup"
19847f0b-2f06-4f6a-b6fc-7262e2beff2f,290,Zilker Neighborhood Community Group,10.95890411,1.909090909,43917,Neighborhood/Local Groups
19d49ee2-7ab5-46b1-9a68-9d6db32b33b4,134,NA,0,0,01-09-2019,NA
19e2b837-8796-42a7-9fe7-8511f9f65173,2067,Edexcel GCSE Business Teachers,4.310344828,3.736842105,43959,Learning & Education
1a6249d4-5975-407d-8587-ce730a1805f4,316,Yoga 🧘🏽‍♀️+ Meditation🙏🏼 For your Healing Journey,0,0,43921,Fitness & Health
1aa26b0f-461f-4a27-b9bb-b5a1cbc726bc,1600,Hello Chinsurah (আমাদের প্রিয় শহর চুঁচুড়া ),0,0,43916,Neighborhood/Local Groups
1b030cb0-7346-4fa4-a152-5251d434df83,1567,Gurgaon Drink Lovers,0,0,43855,Food & Drink
1b5490bd-aa7b-4a3c-bef5-020c66ef8521,826,#Yaaran# •Da• Group✓,0,0,43932,Politics
1b8d268f-111c-40a4-8871-4f258ce3235b,16940,Bollywood Film City,0,0,43912,Entertainment
1ba9f5b5-8651-4c13-8fbe-494fc0d8403b,146,NA,0,0,01-09-2019,NA
1bff5f6f-f754-4bc5-83ed-7629942be79b,89,NA,0,0,01-09-2019,NA
1c47d591-b70b-4339-bf9a-15c0a50a120f,2598,Earning Trends,0,0,43890,Others
1c4e2715-185e-4a80-9de3-0cf07b8bd692,1942,VB.NET Project,0.307692308,0.2,44041,NA
1c92c8db-c073-465a-b2a7-e31c603e7efd,248328,"10th, 12th Pass Jobs",0,0,43939,Jobs & Careers
1cc404db-f4f6-4e8d-872b-3e2ce7205556,343,96 kuli Maratha Singles,4.624277457,0.230769231,43925,Other
1cf40617-9690-4763-a785-92af41c113cd,236,NA,0,0,01-09-2019,NA
1d1c7b84-2d92-41bf-9307-59a21b12e47a,2639,PYRAMID CLASSES JAIPUR,0,0,44037,Jobs & Careers
1d8d3482-5d8b-4ad4-8703-37cb10ae5432,200,NA,0,0,01-09-2019,NA
1e6a5541-955a-4c4b-832a-b9ac5af0daf0,5201,Baby & Food,15.72992024,3.486772487,44025,Parenting
1e79d674-959f-444c-b0a6-dc9a9f1382b7,3109,"Kolkata: travelling, outdoor adventure and activities",7.601026299,0.240837696,43992,Travel
1f351b37-d52e-403a-b0ae-cbae63a59597,117,NA,0,0,01-09-2019,NA
1f680ba4-3f4c-46fe-ae01-c022d80b03d7,8750,CashlessDunia - Online Shopping Deals,0.240082314,0.5,43910,Buy & Sell
10f4b7ec-9558-4c76-9500-1c7cfbdb7c73,57,NA,0,0,01-09-2019,NA
110800c5-ceea-4115-b369-657362e1385e,81296,ITI JOBS,0,0,43939,Jobs & Careers
11b51ec4-9d04-416c-929a-ab0aeadd3633,75,NA,0,0,01-09-2019,NA
1228536b-2304-40ed-b0a0-4be755bf40db,9403,Healthy Diet For Diabetics,2.887055838,14.16666667,44005,Medical & Mental Health
124751a0-1d49-4548-858b-54b20f79e855,51,NA,0,0,01-09-2019,NA
1289aee4-7b14-4cb8-9037-5abee682fb6e,676,VIP - Divas Sassy Jewelry,0,0,43923,Lifestyle Beauty Makeup
12b1d686-d13d-4a76-9230-052f7eb642b8,1319,NTC NEWS MEDIA,0,0,43970,Entertainment
133edc4a-7cf8-4310-9a7c-9a50f5be9c91,280,Desi grils love,0,0,43890,Entertainment
1398917e-d33b-42f0-987e-e0dddbcdfabb,2225,Old Bollywood/Hollywood Film Songs group,0,0,43900,Entertainment
13a1c4f1-2382-468b-8a0e-b61a32eb6a02,322,Fab WomenZz 💁 Squad,12.61538462,3.1,44009,Entertainment
1435d3c1-40df-4b2a-9301-57f4ba25c081,63014,நாட்டு மருந்து,52.2362232,39.05428227,43855,Medical & Mental Health
1470601f-dba2-4a36-9275-f0fb4d0d6370,97,NA,0,0,01-09-2019,NA
14fea377-1fba-4a29-a9a9-3d37bdfc84c9,62,NA,0,0,01-09-2019,NA
150ba9a2-b694-41b5-b167-30ef93ea8e9d,271,Roorkee Helpost,15.12915129,0.28125,43959,Parenting
152e27f0-d284-4338-92e4-5eef178a82de,66,NA,0,0,01-09-2019,NA
154d7450-4a3d-40da-9f4c-22bbd27ebf25,30694,Jobs in Chandigarh/Tri-City,0,0,43920,Jobs & Careers
15963087-4979-4feb-9bdd-e9f120abb816,256,Actors Club,0,0,43959,NA
15f495f5-5008-4861-9649-d6e1ca046b82,3853,Mom Influencers,1.20754717,0.2,43887,Parenting
1fb48734-1d8b-4973-a05d-b5a6f2053abf,189,NA,0,0,01-09-2019,NA
1fd0f696-4aa7-4d98-acac-cbaa2826b3b5,466,Real Life,0,0,43909,Neighborhood/Local Groups
1fff7f3e-ec67-4f92-9ed7-dc0987ec4332,521,JavaScript Startup,0,0,43997,Learning & Education
200e0e15-8ad3-4bbd-ad0a-3fa6ecddc9e7,1372,Fast to Financial Prosperity,0.072886297,0,43956,Learning & Education
204b3a32-ee42-44be-b8aa-d1de5995c8a9,14265,Nagpur Moms  Club,85.00763147,17.76416539,43857,Parenting
207b65c8-0f40-4255-bccd-d234c6f3e4ee,99,NA,0,0,01-09-2019,NA
20d5631a-0ada-4dd0-bf6d-ad4191e3f5a2,118,NA,0,0,01-09-2019,NA
218af08d-1fd3-4581-be52-60592838c9f2,8258,All india wholesale Bazar,0,0,44000,Buy & Sell
219c8f04-ba5a-4e49-a2a1-a9cab934e059,21526,Woww moms🤱🤱❣👸❣,1216.412318,278.6470588,43983,Parenting
21d984ce-3cd9-4ad6-ab8c-4323883799e2,15115,Education Help Line,0,0,43990,Learning & Education
21e8748a-46e1-4a22-8347-3a3351992a0d,152,NA,0,0,01-09-2019,NA
220925c4-8758-4dad-83fa-44b83a7f5821,56,NA,0,0,01-09-2019,NA
23663642-c8b0-4f87-8ef3-873a2013780d,57,NA,0,0,01-09-2019,NA
237e7fd7-23af-462b-b202-af430d40b17f,2261,RBI Grade B prep by Preper,0,0,43907,Learning & Education
2387ae54-9617-47ed-a876-c6697141d7ad,68,NA,0,0,01-09-2019,NA
23fde02a-5693-4d78-a626-2d5f9226377d,369,ASE Bengaluru(2010-2014),0,0,43972,Entertainment
244dd639-fa0b-42d1-8c17-e93df0e5a44a,154,NA,0,0,01-09-2019,NA
248202dc-fb6f-4849-9d2f-8f7326b17a3d,26211,Just for Fun,0,0,43987,Entertainment
249522b6-93dc-46a1-8735-a233504d1fb3,146,NA,0,0,01-09-2019,NA
2508666f-1917-430e-94c4-c5c59cd2df83,1802,Happy Hours - SD Women Online Kitty,5.245720596,0.376811594,43939,Entertainment
2550ee2d-087d-44f6-a65c-2114191e8f46,95,NA,0,0,01-09-2019,NA
2615173c-7355-4869-8b45-5d3eb3d45d8d,77,NA,0,0,01-09-2019,NA
26607da6-a224-4134-b495-07dec68f2b7e,215,NA,0,0,01-09-2019,NA
2683906b-1eea-4f3c-9d35-490b29258483,1205,kitchcooks,0,0,43910,Cooking & Recipes
26baa466-2528-4e2a-a7dc-13652a2a19a1,7667,Naturism,901.1757576,46.35477707,43895,Hobbies & Interests
26c3717f-cda3-486d-9e4d-3f811716a644,458,CMG MEDIA GROUP,6.986899563,0,44033,Others
277c2017-ef5b-4438-bfaf-a06c68b06401,49948,Parenting Tips,121.1689828,75.7875895,43867,Parenting
280feff1-5b4a-4b74-817c-ae00f4944bed,8866,Sangeet Sarita,6.422121896,188.6666667,44028,Hobbies & Interests
28697cd0-f44f-4893-ac31-ea01c9f869ac,2440,Malayalam Film Industry,0,0,43904,Entertainment
28aa6ba1-9922-4deb-9c4a-0737e0b794f1,782,Kashmir Influencer,0,0,43918,Entertainment
28e3e115-09df-4be1-bafc-4273cca1f945,183,NA,0,0,01-09-2019,NA
164117fe-7a8d-4143-8a8e-6905d01fe7aa,264,Bardhaman bazzar club,0,0,43899,Other
173377b0-c30f-40e6-9dda-0c3d71530fc2,187,NA,0,0,01-09-2019,NA
17a0a677-5b46-4493-a31d-2326b7ee8c7f,180,NA,0,0,01-09-2019,NA
17c6ea26-cad9-4571-b16d-fe5433335fb9,2096,Telugu boys and girl friends groups,6.583969466,1.059701493,43987,Entertainment
17eceab9-99ae-4c72-b530-a0cf7b7884bc,447,Destination Wedding Events,25.26096033,1.630434783,44021,Others
19043160-a41f-4031-8250-28a435ea4ff5,145,NA,0,0,01-09-2019,NA
19c70452-87a1-4c9b-a381-943693c96e91,444,ஆண்ட்ராய்டு பாக்ஸ்,0,0,44003,Others
19f4950e-396f-44a8-be08-e97cbfef1ab3,144,NA,0,0,01-09-2019,NA
1a0320aa-6535-431f-bfb6-1d65cfbc2627,430,TeluguMediaUpdtes,0,0,43851,Entertainment
1a1a5312-1396-494d-af4c-d0f6b616abd2,405,Rise up Indian Commercial Photographers,21.72839506,7.8,43957,Learning & Education
1a52bb6b-10a8-4b1c-af5b-3d58ec437c00,90,NA,0,0,01-09-2019,NA
1a6c06e9-3a19-4707-8b8e-70bb9898ab01,123,NA,0,0,01-09-2019,NA
1a907b0c-8f5e-41a4-b731-308b4fe9e748,315,Indian Film Legend - Ritwik Ghatak,0.949367089,0.5,43907,Entertainment
1b00138d-093a-480a-b62c-cc52cdbabe6f,723,Loony Toons WB,515.625,32.52941176,44001,Entertainment
1be76727-eacb-4818-9893-399a8de95c37,155,NA,0,0,01-09-2019,NA
1c28b78b-2bc5-42c6-82ea-a1dc9af2a050,184,NA,0,0,01-09-2019,NA
1c398301-be87-49dd-b3ed-add9c9dc5891,56,NA,0,0,01-09-2019,NA
1c3c82e0-a1c4-4bb5-be17-f911cae59c18,213370,"NDA, CDS & AFCAT, Navy, Army Exam Preparation 2020 ☑️ अपने 100 मित्रो को ज",248.8407678,92.85020172,43942,Learning & Education
294802b1-0b7b-4986-b25f-68d050b88437,1917,The Talented Indian - One Stop Community Platform,0,0,43855,Entertainment
298797df-6e14-4785-8102-6d2271dd4281,7286,RSG SHAMPURNA- Reema's Creation ( FEMALE NON- PAID GROUP),652.0650814,11.21570926,44018,"Lifestyle, Beauty & Makeup"
29dbfce5-ff89-428d-ba0f-fd7fd0c6c412,2477,TSK Divas Olli Belly,1154.762823,40.13049451,44041,Fitness & Health
2a2e76b3-ae99-4ba3-b386-3e9d6b10db47,89,NA,0,0,01-09-2019,NA
2b298c60-fc9f-4381-babe-93992eb0ec8d,147,NA,0,0,01-09-2019,NA
2bb5717c-f9ff-4979-af61-45525544443e,681,Awesong.in,0,0,43938,Entertainment
2c09cdd2-3e6c-443c-8b39-5bd3223b89f5,5106,💟LOVE BEGETS LOVE💟,0,0,43923,Entertainment
2c405470-ab1c-4f48-9a88-af2cd8458764,81,NA,0,0,01-09-2019,NA
2cac90ba-3a67-430a-a525-4b30fd84e400,1158,PuneFashion,1.03626943,0.2,43925,"Lifestyle, Beauty & Makeup"
2cd35cdc-b889-4b33-bfd5-8862bf4834dd,6969,"Chennai: adventure travel club, adventure activities, trekking, camping",5.550786838,0.267973856,43992,Travel
2ce242fa-cdeb-4311-a67b-329ce85690bb,399,вєѕт 💐 fяιєи∂ѕ  💕 fσяєνєя 😘😘😘,0,0,43922,Entertainment
